"","Blood Pressure","Cholesterol","Diabetes"
"Blood Pressure",1,0.986258549883949,-0.984054455068491
"Cholesterol",0.986258549883949,1,-0.999235511283974
"Diabetes",-0.984054455068491,-0.999235511283974,1
